iter	Passed	Remaining
628	4949	2919
629	4958	2912
630	4965	2903
631	4972	2895
632	4980	2887
633	4989	2880
634	5000	2874
635	5008	2866
636	5018	2860
637	5027	2852
638	5037	2845
639	5047	2839
640	5056	2832
641	5066	2825
642	5076	2818
643	5085	2811
644	5094	2803
645	5102	2796
646	5111	2788
647	5120	2781
648	5129	2774
649	5138	2766
650	5147	2759
651	5156	2752
652	5166	2745
653	5175	2738
654	5185	2731
655	5193	2723
656	5202	2716
657	5211	2708
658	5219	2701
659	5228	2693
660	5236	2685
661	5246	2678
662	5254	2670
663	5263	2663
664	5271	2655
665	5280	2648
666	5288	2640
667	5297	2632
668	5306	2625
669	5314	2617
670	5323	2610
671	5332	2602
672	5341	2595
673	5350	2587
674	5360	2580
675	5369	2573
676	5378	2566
677	5388	2559
678	5397	2551
679	5407	2544
680	5416	2537
681	5426	2530
682	5435	2522
683	5444	2515
684	5453	2507
685	5462	2500
686	5471	2493
687	5481	2485
688	5489	2478
689	5498	2470
690	5505	2461
691	5512	2453
692	5520	2445
693	5529	2438
694	5537	2430
695	5546	2422
696	5554	2414
697	5562	2406
698	5570	2398
699	5579	2391
700	5588	2383
701	5596	2375
702	5604	2367
703	5613	2360
704	5622	2352
705	5631	2345
706	5640	2337
707	5648	2329
708	5658	2322
709	5667	2315
710	5676	2307
711	5686	2300
712	5695	2292
713	5704	2285
714	5713	2277
715	5723	2270
716	5732	2262
717	5742	2255
718	5752	2248
719	5763	2241
720	5772	2233
721	5783	2226
722	5793	2219
723	5803	2212
724	5813	2205
725	5822	2197
726	5833	2190
727	5844	2183
728	5854	2176
729	5866	2169
730	5877	2162
731	5886	2155
732	5897	2148
733	5907	2140
734	5919	2134
735	5928	2126
736	5940	2119
737	5950	2112
738	5962	2105
739	5973	2098
740	5982	2091
741	5994	2084
742	6004	2076
743	6014	2069
744	6022	2061
745	6031	2053
746	6040	2045
747	6049	2037
748	6057	2029
749	6065	2021
750	6074	2014
751	6082	2006
752	6090	1997
753	6098	1989
754	6107	1981
755	6115	1973
756	6123	1965
757	6132	1957
758	6141	1950
759	6149	1942
760	6158	1934
761	6167	1926
762	6176	1918
763	6184	1910
764	6192	1902
765	6201	1894
766	6208	1886
767	6217	1878
768	6225	1870
769	6235	1862
770	6244	1854
771	6252	1846
772	6259	1838
773	6266	1829
774	6274	1821
775	6281	1813
776	6289	1805
777	6296	1796
778	6304	1788
779	6312	1780
780	6320	1772
781	6328	1764
782	6335	1755
783	6343	1747
784	6350	1739
785	6358	1731
786	6365	1722
787	6373	1714
788	6380	1706
789	6388	1698
790	6395	1689
791	6402	1681
792	6410	1673
793	6417	1665
794	6425	1656
795	6432	1648
796	6440	1640
797	6448	1632
798	6456	1624
799	6464	1616
800	6472	1608
801	6480	1600
802	6489	1592
803	6497	1583
804	6505	1575
805	6513	1567
806	6522	1559
807	6530	1551
808	6539	1543
809	6547	1535
810	6556	1527
811	6565	1519
812	6573	1511
813	6581	1503
814	6590	1495
815	6598	1487
816	6607	1479
817	6615	1471
818	6623	1463
819	6632	1455
820	6641	1448
821	6650	1440
822	6658	1431
823	6665	1423
824	6673	1415
825	6680	1407
826	6690	1399
827	6698	1391
828	6705	1383
829	6712	1374
830	6720	1366
831	6727	1358
832	6734	1350
833	6741	1341
834	6749	1333
835	6756	1325
836	6764	1317
837	6771	1309
838	6779	1300
839	6787	1292
840	6794	1284
841	6801	1276
842	6809	1268
843	6816	1259
844	6824	1251
845	6832	1243
846	6839	1235
847	6877	1232
848	6896	1226
849	6907	1218
850	6916	1210
851	6923	1202
852	6929	1194
853	6936	1185
854	6942	1177
855	6949	1169
856	6955	1160
857	6962	1152
858	6969	1143
859	6976	1135
860	6983	1127
861	6989	1119
862	6996	1110
863	7003	1102
864	7010	1094
865	7017	1085
866	7024	1077
867	7031	1069
868	7038	1061
869	7046	1052
870	7052	1044
871	7059	1036
872	7066	1027
873	7073	1019
874	7080	1011
875	7088	1003
876	7095	995
877	7102	986
878	7109	978
879	7116	970
880	7124	962
881	7131	954
882	7139	946
883	7147	937
884	7154	929
885	7162	921
886	7170	913
887	7177	905
888	7185	897
889	7193	889
890	7203	881
891	7212	873
892	7221	865
893	7231	857
894	7241	849
895	7254	842
896	7266	834
897	7275	826
898	7287	818
899	7297	810
900	7308	803
901	7320	795
902	7331	787
903	7342	779
904	7353	771
905	7363	763
906	7373	756
907	7383	748
908	7393	740
909	7403	732
910	7413	724
911	7423	716
912	7434	708
913	7444	700
